plot,plant_id,shoots,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
04,04_064_D,0,,,,,,,,,,,
04,04_065_D,11,7.4,6.86,5.74,22.32,24.52,8.55,25.01,4.48,8.56,12.38,4.47
04,04_066_D,8,10.29,15.25,9.68,27.11,9.19,4.8,24.62,6.78,,,
04,04_067_D,5,8.92,22.25,11.97,22.01,5.66,,,,,,
04,04_068_D,7,9.71,20.03,23.39,26.51,10.72,5.43,3.43,,,,
04,04_069_D,8,4.12,21.49,17.75,18.36,9.11,6.22,29.07,6.39,,,
04,04_076_D,7,24.42,3.87,3.86,4.97,12.78,10.06,24.4,,,,
04,04_077_D,6,15.72,22.32,10.54,7.23,10.33,19.36,,,,,
04,04_078_D,8,33.1,12.7,5.92,9.48,12.82,10.14,5.43,23.21,,,
04,04_079_D,5,19.02,12.71,28.73,6.46,5.47,,,,,,
04,04_080_D,6,5.84,8.88,14.55,7.32,21.79,22.95,,,,,
04,04_081_D,7,18.3,23.67,5.62,4.21,24.92,11.23,23.96,,,,
27,27_064_D,7,22.55,7.12,3.37,19.53,3.62,16.27,10.82,,,,
27,27_065_D,6,12.79,9.06,5.31,21.93,26.72,8.39,,,,,
27,27_066_D,8,20.37,6.55,7.09,24.08,6.42,19.51,8.7,6.12,,,
27,27_067_D,4,23.3,11.66,18.64,6.28,,,,,,,
27,27_068_D,5,18.46,14.49,24.53,6.4,9.66,,,,,,
27,27_069_D,5,12.31,21.49,9.14,23.49,10.73,,,,,,
27,27_076_D,5,22.78,4.58,21.18,14.84,21.1,,,,,,
27,27_077_D,0,,,,,,,,,,,
27,27_078_D,9,18.09,3.73,25.01,2.3,4.89,23.58,2.66,13.84,3.55,,
27,27_079_D,6,22.51,4.26,1.87,16.84,1.74,2.08,,,,,
27,27_080_D,7,5.45,23.7,20.36,4.55,3,23.57,7.48,,,,
27,27_081_D,7,11.69,3.57,3.44,24.46,26.91,14.04,4.69,,,,
33,33_064_D,6,7.3,21.19,5.32,13.29,11.5,7,,,,,
33,33_065_D,6,9.95,26.64,21.97,2.56,21.6,2.33,,,,,
33,33_066_D,9,5.61,21.55,4.26,19.52,18.82,14.09,18.85,16.72,3.01,,
33,33_067_D,3,19.23,14.98,4.7,,,,,,,,
33,33_068_D,3,19.02,13.29,2.14,,,,,,,,
33,33_069_D,5,6.44,17.13,26.18,6.34,9.15,,,,,,
33,33_076_D,5,21.27,8.72,18.21,2.78,12.22,,,,,,
33,33_077_D,4,4.02,11.69,20.73,22.31,,,,,,,
33,33_078_D,5,5.24,24.7,10.72,25.69,8.55,,,,,,
33,33_079_D,5,13.21,2.77,18.36,19.36,5.36,,,,,,
33,33_080_D,5,2.49,23.85,14.19,18.53,4.8,,,,,,
33,33_081_D,6,16.35,9.18,1.89,9.08,16.03,3.37,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
